2025-08-18 06:34:33          0 OC-IS-KJH/
2025-08-19 07:51:59    1917232 OC-IS-KJH/16s/Case/H1310161_S20_L001_R1_001.fastq.gz
2025-08-19 07:52:00    2390106 OC-IS-KJH/16s/Case/H1310162_S21_L001_R1_001.fastq.gz
2025-08-19 07:52:00    2486506 OC-IS-KJH/16s/Case/H1310163_S22_L001_R1_001.fastq.gz
2025-08-19 07:52:01    2267107 OC-IS-KJH/16s/Case/H1310164_S23_L001_R1_001.fastq.gz
2025-08-19 07:52:01    2558718 OC-IS-KJH/16s/Case/H1310171_S29_L001_R1_001.fastq.gz
2025-08-19 07:52:01    2339157 OC-IS-KJH/16s/Case/H1310173_S30_L001_R1_001.fastq.gz
2025-08-19 07:52:02    3075660 OC-IS-KJH/16s/Case/H1310176_S32_L001_R1_001.fastq.gz
2025-08-19 07:52:02    2520104 OC-IS-KJH/16s/Case/H1310177_S35_L001_R1_001.fastq.gz
2025-08-19 07:52:03    2350929 OC-IS-KJH/16s/Case/H1310180_S38_L001_R1_001.fastq.gz
2025-08-19 07:52:03    2652244 OC-IS-KJH/16s/Case/H1310182_S40_L001_R1_001.fastq.gz
2025-08-19 07:52:03    2850616 OC-IS-KJH/16s/Case/H1310187_S45_L001_R1_001.fastq.gz
2025-08-19 07:52:05    1770716 OC-IS-KJH/16s/Case/H1310188_S46_L001_R1_001.fastq.gz
2025-08-19 07:52:05    2145626 OC-IS-KJH/16s/Case/H1310189_S47_L001_R1_001.fastq.gz
2025-08-19 07:52:05    2952759 OC-IS-KJH/16s/Case/H1310192_S50_L001_R1_001.fastq.gz
2025-08-19 07:52:05    3017277 OC-IS-KJH/16s/Case/H1310193_S51_L001_R1_001.fastq.gz
2025-08-19 07:52:06    2582801 OC-IS-KJH/16s/Case/H1310195_S53_L001_R1_001.fastq.gz
2025-08-19 07:52:07    2861363 OC-IS-KJH/16s/Case/H1310198_S56_L001_R1_001.fastq.gz
2025-08-19 07:52:07    2719752 OC-IS-KJH/16s/Case/H1310199_S57_L001_R1_001.fastq.gz
2025-08-19 07:52:07    2603862 OC-IS-KJH/16s/Case/H1310202_S60_L001_R1_001.fastq.gz
2025-08-19 07:52:07    3348742 OC-IS-KJH/16s/Case/H1310203_S61_L001_R1_001.fastq.gz
2025-08-19 07:52:08    2130395 OC-IS-KJH/16s/Case/H1310206_S2_L001_R1_001.fastq.gz
2025-08-19 07:52:09    2573539 OC-IS-KJH/16s/Case/H1310209_S5_L001_R1_001.fastq.gz
2025-08-19 07:52:09    2399644 OC-IS-KJH/16s/Case/H1310211_S7_L001_R1_001.fastq.gz
2025-08-19 07:52:09    2360449 OC-IS-KJH/16s/Case/H1310219_S14_L001_R1_001.fastq.gz
2025-08-19 07:52:09    2314495 OC-IS-KJH/16s/Case/H1310223_S19_L001_R1_001.fastq.gz
2025-08-19 07:52:10    2162378 OC-IS-KJH/16s/Case/H1310224_S20_L001_R1_001.fastq.gz
2025-08-19 07:52:11    2488577 OC-IS-KJH/16s/Case/H1310234_S30_L001_R1_001.fastq.gz
2025-08-19 07:52:11    2673280 OC-IS-KJH/16s/Case/H1310236_S32_L001_R1_001.fastq.gz
2025-08-19 07:52:11    2951994 OC-IS-KJH/16s/Case/H1310238_S34_L001_R1_001.fastq.gz
2025-08-19 07:52:12    2456578 OC-IS-KJH/16s/Case/H1310240_S36_L001_R1_001.fastq.gz
2025-08-19 07:52:12    2591026 OC-IS-KJH/16s/Case/H1310242_S38_L001_R1_001.fastq.gz
